"M1","Type d’habitat dans lequel est intégré le logement"
"M2","Le ménage est-il ?"
"M3","Avez-vous le téléphone fixe au domicile ?"
"M4","Si oui, êtes-vous ?"
"M5","Avez-vous une connexion Internet ?"
"M6","Nombre de véhicules de tourisme ou véhicules utilitaires de moins de 1000 kg de charge utile à la disposition des membres du ménage (véhicules possédés + véhicules mis à disposition)"
"M7","Genre du véhicule"
"M8","Énergie du véhicule"
"M9","Année de première mise en circulation"
"M10","Puissance fiscale (en chevaux)"
"M11","Le véhicule est-il ?"
"M12","La nuit, où stationne le plus souvent, le véhicule ?"
"M12A","Disposez-vous à votre domicile d’une place de stationnement que vous utilisez pour un autre usage (stockage par exemple) ou que vous n’utilisez pas ?"
"M13","La nuit, ce stationnement est-il ?"
"M14","De combien de 2 ou 3 roues à moteur les membres de votre ménage disposent-ils ? (possédés + mis à disposition)"
"M15","Genre du 2 ou 3 roues à moteur"
"M16","Cylindrée - Puissance"
"M17","Type de moteur thermique"
"M18","Année de première mise en circulation"
"M19","La nuit, où stationne le plus souvent, le véhicule ?"
"M20","La nuit, ce stationnement est-il ?"
"M21","Combien de vélos en état de marche et utilisables sur la voie publique avez-vous à disposition dans votre ménage ?"
"M22","Parmi eux, combien sont équipés d'une assistance électrique ?"
"M23","Disposez-vous d'un lieu de stationnement sécurisé pour un vélo de type cave, box, cour fermée à domicile ?"
"M24","En dehors du coût de votre logement, qu’est-ce qui a compté pour vous dans la localisation de votre logement actuel ?"
"P0","Numéro et prénom de la personne"
"P1","Type de personne"
"JOURDEP","Jour des deplacements"
"P2","Genre"
"P3","Lien avec la personne de référence"
"P4","Âge"
"P5","Possession d’un téléphone portable (à titre personnel ou professionnel)"
"P6","Possession d’une adresse de messagerie électronique (à titre personnel ou professionnel, consultée au moins 1 fois par semaine)"
"P7","Possesion du permis de conduire VL (tourisme B valide hier)"
"P8","Plus haut niveau d'études atteint"
"P9","Occupation principale de la personne (statut)"
"P10","Autre occupation de la personne"
"P11","Quelle est ou quelle a été votre profession principale, ou pour les scolaires et étudiants, quel est votre niveau d’études ?"
"P12","Hier, aviez-vous un abonnement Transports collectifs valide ?"
"P12a","S'agit-il d'un abonnement pour : ?"
"P14","Pour votre occupation principale, travaillez-vous ou étudiezvous exclusivement à domicile ?"
"P15","Pour votre occupation principale, adresse précise de votre lieu de travail ou d’études"
"P16","Pour vous rendre sur votre lieu de travail ou sur votre lieu d’études de votre occupation principale : En général,disposez-vous d’une voiture en tant que conducteur ?"
"P17","Sur votre lieu de travail ou sur votre lieu d’études de votre occupation principale : En général, rencontrezvous des problèmes de stationnement ?"
"P18","Sur ou à proximité de votre lieu de travail ou de votre lieu d’études de votre occupation principale : Est-il difficile de stationner ?"
"P18a","Sur votre lieu de travail ou sur votre lieu d’études de votre occupation principale : Avez-vous ou auriez vous la possibilité de stationner un vélo de manière sécurisée ?"
"P19","uniquement à pied pour faire des achats, aller à l’école, accompagne r quelqu’un, etc… ?"
"P20","Vélo conducteur"
"P21","2 roues à moteur conducteur"
"P22","Voiture conducteur"
"P23","Voiture passager"
"P24","Réseau de TC urbains (bus, tram, etc.)"
"P24a","Trains ou cars TER Rhône-Alpes"
"P24b","Cars de votre départemen t (Cars du Rhône TransIsère – Car.ain.fr)"
"P25","Hier de 4 h 00 du matin à ce jour 4 h 00 du matin, vous êtes vous déplacé ?"
"P26","Hier de 4 h 00 du matin à ce jour 4 h 00 du matin, avez-vous travaillé ?"
"D1","N° déplacement"
"D2","Motif origine de la personne"
"D3","Zone fine origine"
"D4","Heure de départ"
"D5","Motif destination de la personne"
"D6","motifs tournér"
"D7","Zone fine destination"
"D8","Heure d’arrivée"
"D9","Durée du déplacement"
"D10","Nombre de modes mécanisés utilisés pour effectuer le déplacement (coder 0 si le déplacement est fait uniquement à pied et passer au déplacement suivant)"
"T1","N° du trajet"
"T2","Temps de marche à pied pour rejoindre le mode mécanisé (en minutes)"
"T3","Mode de transport utilisé"
"T4","Temps de recherche de stationnement (min)"
"T5","Zone fine d’arrivée du mode mécanisé"
"T6","Temps de marche à pied pour rejoindre la destination finale du déplacement ou pour accéder au mode mécanisé suivant (en minutes)"
"T7","Nb du véhicule utilisé"
"T8","Nb d’occupants du véhicule"
"T8a","Nb de passagers majeurs (hors conducteur)."
"T8b","Si T3 =21 (conducteur de voiture particulière) Nb de personne n'appartenant pas au foyer ?"
"T9","Lieu de stationnement"
"T10","Nature du stationnement"
"T11","Durée de recherche du stationnement (en minutes) Coder 00 s’il n’y a pas de recherche de stationnement"
"O1","Voici une liste de points qui font partie de la vie locale. Pour chacun d’eux, pouvez-vous me dire si dans votre agglomération, c’est un point plutôt important ou plutôt pas important ?"
"O2","Vous venez de me citer (reprendre la liste des items considérés comme plutôt importants). Parmi ceux-ci, quel est celui dont on devrait s’occuper en priorité ? (IE. 1 seule réponse)"
"O3","Voici une liste de points qui concernent la circulation et les transports dans votre agglomération. Pour chacun d’eux, pouvez-vous me dire si c’est un point plutôt important ou plutôt pas important ?"
"O4","Vous venez de me citer (reprendre la liste des items considérés comme plutôt importants). Parmi ceux-ci, quel est celui dont on devrait s’occuper en priorité ? (IE. 1 seule réponse)"
"O5","Pour chacune des affirmations suivantes, êtes-vous d’accord ou pas d’accord ?"
"O6","Pouvez-vous me citer trois adjectifs qui vous paraissent les plus adaptés pour qualifier le mode l’automobile ? [IE : en cas de difficulté pour classer l’adjectif proposé par l’enquêté, l’inscrire en clair]"
"O7","Pouvez-vous me citer trois adjectifs qui vous paraissent les plus adaptés pour qualifier le mode les transports collectifs ? [IE : en cas de difficulté pour classer l’adjectif proposé par l’enquêté, l’inscrire en clair]"
"O8","Pouvez-vous me citer trois adjectifs qui vous paraissent les plus adaptés pour qualifier le mode le vélo ? [IE : en cas de difficulté pour classer l’adjectif proposé par l’enquêté, l’inscrire en clair]"
"O9","En semaine, du lundi au vendredi, vous arrive-t-il de covoiturer ?"
"O10","Le plus souvent, avec qui covoiturez-vous ? (2 réponses possibles)"
"O11","Comment s’effectue la répartition des frais ?"
"O12","Pour quel motif covoiturez-vous le plus souvent en semaine ? (2 réponses possibles)"
"O13","Avez-vous déjà utilisé le site internet de covoiturage www.covoiturage-grandlyon.com ou le site www.covoiturage-rhone.fr ?"
"O14","Pour quelles raisons ne covoiturez-vous jamais ou exceptionnellement du lundi au vendredi ? (réponse spontanée – 3 réponses au maximum)"
"O15","Considérez-vous que votre domicile, vis-à-vis des transports collectifs en général, est"
"O16","Si vous deviez prendre le train pour effectuer un déplacement à l’intérieur de la région Rhône-Alpes, à quelle gare prendriez-vous ce train ?"
"O17","Pourquoi n'utilisez-vous pas les transports collectifs ? (réponse spontanée – 3 réponses au maximum)"
"O18","Selon vous, que faudrait-il faire pour faciliter l’usage de la marche ? (réponse spontanée – 3 réponses maximum)"
"O19","Selon vous, que faudrait-il faire pour faciliter l’usage du vélo ? (réponse spontanée – 3 réponses au maximum)"
"O20","Selon vous, pour que les automobilistes paient toujours le stationnement sur voirie, il faudrait que l’amende soit :"
"O21","Seriez-vous prêt à payer votre place de stationnement en P+R (y compris à la gare SNCF) si cela vous garantissait de disposer d'une place réservée ?"
"O22","Contraindre la circulation automobile dans les villes ou contraindre l’accès à la ville en voiture pourrait m’amener (ou m’a déjà amené) : (citer la liste – 2 réponses au maximum)"
"O23","Connaissez-vous l’un des systèmes d’autopartage présents à Lyon (Bluely, Autolib, Sunmoov) ?"
"O24","Selon vous, quels sont les freins à l’utilisation de l’autopartage ? (réponse spontanée – 3 réponses au maximum)"
"O25","Selon vous, pourquoi n’achète-t-on pas plus de voitures électriques ? (réponse spontanée – 2 réponses au maximum)"
"O26","Les achats sur internet se développent. Pour récupérer vos achats vous préférez le plus souvent :"
"O2b","Pour vous, disposer de commerces de proximité c’est ?"
"O27","Dans ou à proximité immédiate des grosses stations de transport en commun, quels services ou commerces aimeriez-vous trouver ? (réponse spontanée – 3 réponses au maximum)"
"O28","Afin d’éviter les heures de pointe sur les routes, il faudrait selon vous (2 réponses possibles)"
"O29","Dans les années à venir, qu’est-ce qui est, pour vous, le plus important à améliorer pour les déplacements en transports collectifs pour vous rendre dans l’agglomération lyonnaise ? (réponse spontanée – 2 réponses au maximum)"
"O30","Travaillez-vous :"
"O31","En général, quel mode de transport utilisez-vous pour vous rendre au travail ? (utiliser les codes modes de la fiche déplacement)"
"O32a","Avez-vous déjà utilisé « OnlyMoov » ?"
"O33","Pour vous rendre dans les grandes villes de la Région Rhône-Alpes, vous arrive-t-il de faire une partie de votre déplacement en voiture-conducteur, puis d’utiliser les transports en commun (train, métro, tramway, bus) pour finir votre déplacement ?"
"O34","Avez-vous déjà utilisé « Multitud.org » pour préparer ce type de déplacement ?"
"O35","Pourquoi avez-vous pris un seul mode de transport ? (réponse spontanée – 2 réponses au maximum)"
